hour,zone,total_ridership
2024-01-06 20:00:00.000000 UTC,Outside,56225
2024-01-06 21:00:00.000000 UTC,Inside,16596
2024-01-06 21:00:00.000000 UTC,Outside,47935
2024-01-06 22:00:00.000000 UTC,Inside,18175
2024-01-06 22:00:00.000000 UTC,Outside,43456
2024-01-06 23:00:00.000000 UTC,Inside,11997
2024-01-06 23:00:00.000000 UTC,Outside,31811
2024-01-07 00:00:00.000000 UTC,Inside,7253
2024-01-07 00:00:00.000000 UTC,Outside,18012
2024-01-07 01:00:00.000000 UTC,Inside,3479
2024-01-07 01:00:00.000000 UTC,Outside,8720
2024-01-07 02:00:00.000000 UTC,Inside,1969
2024-01-07 02:00:00.000000 UTC,Outside,5331
2024-01-07 03:00:00.000000 UTC,Inside,1065
2024-01-07 03:00:00.000000 UTC,Outside,4305
2024-01-07 04:00:00.000000 UTC,Inside,1030
2024-01-07 04:00:00.000000 UTC,Outside,6820
2024-01-07 05:00:00.000000 UTC,Inside,1222
2024-01-07 05:00:00.000000 UTC,Outside,13337
2024-01-07 06:00:00.000000 UTC,Inside,2666
2024-01-07 06:00:00.000000 UTC,Outside,25261
2024-01-07 07:00:00.000000 UTC,Inside,4365
2024-01-07 07:00:00.000000 UTC,Outside,35068
2024-01-07 08:00:00.000000 UTC,Inside,6180
2024-01-07 08:00:00.000000 UTC,Outside,44367
2024-01-07 09:00:00.000000 UTC,Inside,9432
2024-01-07 09:00:00.000000 UTC,Outside,54220
2024-01-07 10:00:00.000000 UTC,Inside,13159
2024-01-07 10:00:00.000000 UTC,Outside,65120
2024-01-07 11:00:00.000000 UTC,Inside,17203
2024-01-07 11:00:00.000000 UTC,Outside,71426
2024-01-07 12:00:00.000000 UTC,Inside,20347
2024-01-07 12:00:00.000000 UTC,Outside,81535
2024-01-07 13:00:00.000000 UTC,Inside,22776
2024-01-07 13:00:00.000000 UTC,Outside,90605
2024-01-07 14:00:00.000000 UTC,Inside,24916
2024-01-07 14:00:00.000000 UTC,Outside,96249
2024-01-07 15:00:00.000000 UTC,Inside,27000
2024-01-07 15:00:00.000000 UTC,Outside,97417
2024-01-07 16:00:00.000000 UTC,Inside,28671
2024-01-07 16:00:00.000000 UTC,Outside,95900
2024-01-07 17:00:00.000000 UTC,Inside,30387
2024-01-07 17:00:00.000000 UTC,Outside,88886
2024-01-07 18:00:00.000000 UTC,Inside,27346
2024-01-07 18:00:00.000000 UTC,Outside,74768
2024-01-07 19:00:00.000000 UTC,Inside,19471
2024-01-07 19:00:00.000000 UTC,Outside,57941
2024-01-07 20:00:00.000000 UTC,Inside,15787
2024-01-07 20:00:00.000000 UTC,Outside,46219
2024-01-07 21:00:00.000000 UTC,Inside,13762
2024-01-07 21:00:00.000000 UTC,Outside,39164
2024-01-07 22:00:00.000000 UTC,Inside,10768
2024-01-07 22:00:00.000000 UTC,Outside,32024
2024-01-07 23:00:00.000000 UTC,Inside,6855
2024-01-07 23:00:00.000000 UTC,Outside,20314
2024-01-08 00:00:00.000000 UTC,Inside,3385
2024-01-08 00:00:00.000000 UTC,Outside,10091
2024-01-08 01:00:00.000000 UTC,Inside,1402
2024-01-08 01:00:00.000000 UTC,Outside,4403
2024-01-08 02:00:00.000000 UTC,Inside,766
2024-01-08 02:00:00.000000 UTC,Outside,3379
2024-01-08 03:00:00.000000 UTC,Inside,570
2024-01-08 03:00:00.000000 UTC,Outside,5065
2024-01-08 04:00:00.000000 UTC,Inside,1190
2024-01-08 04:00:00.000000 UTC,Outside,15898
2024-01-08 05:00:00.000000 UTC,Inside,5734
2024-01-08 05:00:00.000000 UTC,Outside,56174
2024-01-08 06:00:00.000000 UTC,Inside,17490
2024-01-08 06:00:00.000000 UTC,Outside,124990
